k,n,joint_pass,joint_pass_rate,functional_pass,functional_rate,security_pass,security_rate,mean_findings,mean_feedback,condition
0,19,13,0.6842105263157895,15,0.7894736842105263,13,0.6842105263157895,0.8421052631578947,0.8421052631578947,naive (naive_haiku_20260416_154733)
1,6,6,1.0,6,1.0,6,1.0,0.3333333333333333,0.3333333333333333,naive (naive_haiku_20260416_154733)
2,1,1,1.0,1,1.0,1,1.0,2.0,2.0,naive (naive_haiku_20260416_154733)
3,1,1,1.0,1,1.0,1,1.0,2.0,2.0,naive (naive_haiku_20260416_154733)
4,1,1,1.0,1,1.0,1,1.0,2.0,2.0,naive (naive_haiku_20260416_154733)
5,1,1,1.0,1,1.0,1,1.0,2.0,2.0,naive (naive_haiku_20260416_154733)
0,19,15,0.7894736842105263,16,0.8421052631578947,15,0.7894736842105263,0.7894736842105263,0.0,selective (selective_haiku_20260416_155250)
0,19,13,0.6842105263157895,15,0.7894736842105263,13,0.6842105263157895,0.8421052631578947,0.5263157894736842,llm_judge (llm_judge_haiku_20260416_155251)
1,4,4,1.0,4,1.0,4,1.0,0.75,0.0,llm_judge (llm_judge_haiku_20260416_155251)
0,19,5,0.2631578947368421,10,0.5263157894736842,5,0.2631578947368421,0.15789473684210525,0.15789473684210525,naive (naive_qwen3:8b_20260416_154732)
1,1,0,0.0,0,0.0,0,0.0,0.0,0.0,naive (naive_qwen3:8b_20260416_154732)
0,19,8,0.42105263157894735,12,0.631578947368421,8,0.42105263157894735,0.5789473684210527,0.10526315789473684,selective (selective_qwen3:8b_20260416_155454)
1,1,1,1.0,1,1.0,1,1.0,1.0,0.0,selective (selective_qwen3:8b_20260416_155454)
0,19,8,0.42105263157894735,11,0.5789473684210527,8,0.42105263157894735,0.42105263157894735,0.3157894736842105,llm_judge (llm_judge_qwen3:8b_20260416_155455)
1,4,0,0.0,1,0.25,1,0.25,0.75,0.0,llm_judge (llm_judge_qwen3:8b_20260416_155455)
